PartitionKey,timeOfTweet,,,Prob,0.695411405
Bernie Sanders,Sun Feb 28 15:04:38 +0000 2016,,,0.673961103,-30.84548523
Bernie Sanders,Sun Feb 28 15:04:39 +0000 2016,,,0.677431047,-25.85571374
Bernie Sanders,Sun Feb 28 15:04:39 +0000 2016,,,0.69783324,3.482592831
Bernie Sanders,Sun Feb 28 15:04:41 +0000 2016,,,0.655819297,-56.93336049
Bernie Sanders,Sun Feb 28 15:04:43 +0000 2016,,,0.705410182,14.37821799
Bernie Sanders,Sun Feb 28 15:04:46 +0000 2016,,,0.663942397,-45.25236139
Bernie Sanders,Sun Feb 28 15:04:48 +0000 2016,,,0.698071659,3.825438804
Bernie Sanders,Sun Feb 28 15:04:48 +0000 2016,,,0.699975431,6.563058558
Bernie Sanders,Sun Feb 28 15:04:49 +0000 2016,,,0.655819297,-56.93336049
Bernie Sanders,Sun Feb 28 15:04:49 +0000 2016,,,0.736777008,59.48364157
Bernie Sanders,Sun Feb 28 15:04:51 +0000 2016,,,0.680697143,-21.15907521
Bernie Sanders,Sun Feb 28 15:04:53 +0000 2016,,,0.66821903,-39.10257298
Bernie Sanders,Sun Feb 28 15:04:55 +0000 2016,,,0.637276709,-83.59755936
Bernie Sanders,Sun Feb 28 15:04:55 +0000 2016,,,0.655819297,-56.93336049
Bernie Sanders,Sun Feb 28 15:04:56 +0000 2016,,,0.698071659,3.825438804
Bernie Sanders,Sun Feb 28 15:04:57 +0000 2016,,,0.74866277,76.57533997
Bernie Sanders,Sun Feb 28 15:05:01 +0000 2016,,,0.708456516,18.75883927
Bernie Sanders,Sun Feb 28 15:05:02 +0000 2016,,,0.712875307,25.11305055
Bernie Sanders,Sun Feb 28 15:05:05 +0000 2016,,,0.70210886,9.630924549
Bernie Sanders,Sun Feb 28 15:05:08 +0000 2016,,,0.708456516,18.75883927
Bernie Sanders,Sun Feb 28 15:05:08 +0000 2016,,,0.701161742,8.268971045
Bernie Sanders,Sun Feb 28 15:55:48 +0000 2016,,,0.683823407,-16.66351477
Bernie Sanders,Sun Feb 28 15:55:48 +0000 2016,,,0.664699078,-44.16425586
Bernie Sanders,Sun Feb 28 15:55:48 +0000 2016,,,0.757910967,89.87422597
Bernie Sanders,Sun Feb 28 15:55:51 +0000 2016,,,0.634854853,-87.08018271
Bernie Sanders,Sun Feb 28 15:55:51 +0000 2016,,,0.708690047,19.09465631
Bernie Sanders,Sun Feb 28 15:55:51 +0000 2016,,,0.752263546,81.75324757
Bernie Sanders,Sun Feb 28 15:55:52 +0000 2016,,,0.712643743,24.78006205
Bernie Sanders,Sun Feb 28 15:55:52 +0000 2016,,,0.757703364,89.57569333
Bernie Sanders,Sun Feb 28 15:55:52 +0000 2016,,,0.750149667,78.71349443
